Order #,Time,Server,Item,Modifiers,Price,Qty,Tax,Total,Payment Type,Parsed Time,Hour,Cluster
6,"5/1/25, 8:43 AM","(5/1/25, 8:36 AM - 8:37 AM)",Iced Shaken Espresso,"Iced, Spl Almond, Cold foam, Bsc Cf",5.5,1,5.5,0.54,Visa 6961,2025-05-01 08:43:00,8,4
7,"5/1/25, 8:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Latte",6.5,1,6.5,0.63,Visa 4780,2025-05-01 08:44:00,8,4
7,"5/1/25, 8:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Plain, Plain CC",4.0,1,4.0,0.39,Visa 4780,2025-05-01 08:44:00,8,1
8,"5/1/25, 8:48 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Latte, Caramel, Almond Milk",9.25,1,9.25,0.9,Mastercard 3139,2025-05-01 08:48:00,8,2
8,"5/1/25, 8:48 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Asiago, No CC",2.5,1,2.5,0.24,Mastercard 3139,2025-05-01 08:48:00,8,1
9,"5/1/25, 8:49 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Everything Bagel, Garlic Herb CC, Vanilla, Chocolate Milano, Smores",9.5,1,9.5,0.93,Visa 7281,2025-05-01 08:49:00,8,2
10,"5/1/25, 8:50 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla",5.5,1,5.5,0.54,Visa 2948,2025-05-01 08:50:00,8,4
11,"5/1/25, 8:58 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Caramel",5.5,1,5.5,0.54,Visa 3248,2025-05-01 08:58:00,8,4
12,"5/1/25, 8:59 AM","(5/1/25, 8:36 AM - 8:37 AM)",S'mores,"Iced, Oat Milk, Latte",7.25,1,7.25,0.71,Mastercard 4808,2025-05-01 08:59:00,8,4
13,"5/1/25, 8:59 AM","(5/1/25, 8:36 AM - 8:37 AM)",White Macadamia,"Iced, Latte",6.5,1,6.5,0.63,Visa 7289,2025-05-01 08:59:00,8,4
14,"5/1/25, 9:02 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Latte",6.5,1,6.5,0.63,Visa 7743,2025-05-01 09:02:00,9,4
15,"5/1/25, 9:03 AM","(5/1/25, 8:36 AM - 8:37 AM)",Mr. Can't Go wrong,Add Garlic Herb Cc,10.5,1,10.5,1.02,Visa 7737,2025-05-01 09:03:00,9,2
15,"5/1/25, 9:03 AM","(5/1/25, 8:36 AM - 8:37 AM)",S'mores,"Iced, Latte",6.5,1,6.5,0.63,Visa 7737,2025-05-01 09:03:00,9,4
16,"5/1/25, 9:08 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Matcha, Landacape, Iced",9.5,1,9.5,0.93,Visa 6298,2025-05-01 09:08:00,9,2
17,"5/1/25, 9:09 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Sesame Bagel, Maple CC, Latte, Vanilla, Sugar Free, Cold Foam, Iced",9.5,1,9.5,0.93,Amex 1151,2025-05-01 09:09:00,9,2
18,"5/1/25, 9:10 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Maple CC, Matcha, Strawberry, Iced",9.0,1,9.0,0.88,Visa 5135,2025-05-01 09:10:00,9,2
19,"5/1/25, 9:14 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cin Sug. Bagel, Maple CC, Latte, Hazelnut, Iced",8.5,1,8.5,0.83,Discover 4989,2025-05-01 09:14:00,9,2
20,"5/1/25, 9:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Cane",5.5,1,5.5,0.54,Visa 7334,2025-05-01 09:16:00,9,4
21,"5/1/25, 9:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Asiago Bagel, Garlic Herb CC, Vanilla",8.5,1,8.5,0.83,Mastercard 7279,2025-05-01 09:16:00,9,2
22,"5/1/25, 9:19 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Asiago Bagel, Garlic Herb CC, Cane",9.0,1,9.0,0.88,Visa 2068,2025-05-01 09:19:00,9,2
43,"5/1/25, 10:08 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Caramel, Oat Milk",6.25,1,6.25,0.61,Mastercard 6206,2025-05-01 10:08:00,10,4
43,"5/1/25, 10:08 AM","(5/1/25, 8:36 AM - 8:37 AM)",$0.00,El Toro Rojo,11.0,1,11.0,1.07,Mastercard 6206,2025-05-01 10:08:00,10,2
44,"5/1/25, 10:09 AM","(5/1/25, 8:36 AM - 8:37 AM)",Americano,"Iced, Honey, Almond Milk",5.25,1,5.25,0.51,Amex 5977,2025-05-01 10:09:00,10,4
45,"5/1/25, 10:15 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Strawberry",6.0,1,6.0,0.58,Visa 5438,2025-05-01 10:15:00,10,4
46,"5/1/25, 10:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Chai,Iced,6.0,1,6.0,0.58,Visa 1866,2025-05-01 10:16:00,10,4
47,"5/1/25, 10:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Plain CC, Latte, Vanilla",8.5,1,8.5,0.83,Visa 9424,2025-05-01 10:16:00,10,2
48,"5/1/25, 10:20 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Garlic Herb CC, Shaken Espresso, Spl Milk, Iatmikk",8.0,1,8.0,0.78,Visa 6406,2025-05-01 10:20:00,10,2
49,"5/1/25, 10:21 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Oat Milk",5.75,1,5.75,0.56,Visa 3272,2025-05-01 10:21:00,10,4
50,"5/1/25, 10:23 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Hoeny, Oat Milk, Asiago Bagel, Diablo CC",9.75,1,9.75,0.95,Visa 5046,2025-05-01 10:23:00,10,2
51,"5/1/25, 10:25 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Sesame Bagel, Plain CC, Matcha, Vanilla, Iced",9.0,1,9.0,0.88,Visa 8233,2025-05-01 10:25:00,10,2
52,"5/1/25, 10:26 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Garlic Herb CC, Matcha, Vanilla, Almond Milk, Iced",9.75,1,9.75,0.95,Amex 6438,2025-05-01 10:26:00,10,2
53,"5/1/25, 10:28 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Plain CC, Matcha, Almond Milk",9.25,1,9.25,0.9,Visa 0400,2025-05-01 10:28:00,10,2
54,"5/1/25, 10:29 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Vanilla, Plain Bagel, Plain CC",8.5,1,8.5,0.83,Visa 9951,2025-05-01 10:29:00,10,2
55,"5/1/25, 10:30 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cin Sug. Bagel, Blueberry CC, Matcha, Lanfscaoe",9.5,1,9.5,0.93,Visa 3093,2025-05-01 10:30:00,10,2
55,"5/1/25, 10:30 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Shaken Espresso, Asiago Bagel, Garlic Herb CC",8.0,1,8.0,0.78,Visa 3093,2025-05-01 10:30:00,10,2
56,"5/1/25, 10:32 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Diablo CC, Latte, Oat Milk, Iced",8.75,1,8.75,0.85,Amex 0258,2025-05-01 10:32:00,10,2
57,"5/1/25, 10:32 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla, Oat Milk",6.25,1,6.25,0.61,Visa 1012,2025-05-01 10:32:00,10,4
58,"5/1/25, 10:35 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Everything, Garlic Herb CC",4.25,1,4.25,0.41,Visa 8414,2025-05-01 10:35:00,10,1
59,"5/1/25, 10:36 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Vanilla, Cold foam",7.0,1,7.0,0.68,Visa 7783,2025-05-01 10:36:00,10,4
60,"5/1/25, 10:37 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Oat Milk, Vanilla",6.25,1,6.25,0.61,Visa 4671,2025-05-01 10:37:00,10,4
61,"5/1/25, 10:40 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, HOT, Plain Bagel, Blueberry CC",8.0,2,16.0,1.56,Visa 5067,2025-05-01 10:40:00,10,3
62,"5/1/25, 10:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Sesame Bagel, Plain CC, Matcha, Vanilla, Iced",9.0,1,9.0,0.88,Mastercard 7853,2025-05-01 10:44:00,10,2
66,"5/1/25, 10:46 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Garlic Herb CC, Latte, Caramel, Oat Milk",9.25,1,9.25,0.9,Visa 7846,2025-05-01 10:46:00,10,2
73,"5/1/25, 10:51 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Plain CC, Matcha, Oat Milk, Vanilla, Iced",9.75,1,9.75,0.95,Mastercard 9462,2025-05-01 10:51:00,10,2
75,"5/1/25, 10:52 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cin Sug. Bagel, Maple CC, Matcha, Oat Milk, Strawberry, Iced",9.75,1,9.75,0.95,Mastercard 0610,2025-05-01 10:52:00,10,2
78,"5/1/25, 10:53 AM","(5/1/25, 8:36 AM - 8:37 AM)",Mocha,Iced,5.5,1,5.5,0.54,Visa 8183,2025-05-01 10:53:00,10,4
79,"5/1/25, 10:56 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Asiago Bagel, Plain CC, Toadted Marshmallow",9.0,1,9.0,0.88,Visa 0800,2025-05-01 10:56:00,10,2
82,"5/1/25, 10:58 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Plain CC, Latte, Caramel, Oat Milk, Cold Foam",10.25,1,10.25,1.0,Visa 9227,2025-05-01 10:58:00,10,2
83,"5/1/25, 10:58 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Asiago, Garlic Herb CC",4.25,1,4.25,0.41,Visa 3500,2025-05-01 10:58:00,10,1
85,"5/1/25, 10:59 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla, Almond Milk",6.25,1,6.25,0.61,Visa 6894,2025-05-01 10:59:00,10,4
86,"5/1/25, 11:00 AM","(5/1/25, 8:36 AM - 8:37 AM)",Snickerdoodle,"Iced, Almond Milk, Latte",7.25,1,7.25,0.71,Mastercard 0100,2025-05-01 11:00:00,11,4
87,"5/1/25, 11:01 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Plain CC, Matcha, Vanilla, Strawberry",9.5,1,9.5,0.93,Mastercard 4707,2025-05-01 11:01:00,11,2
88,"5/1/25, 11:03 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Plain CC, Matcha, Strawberry",9.0,1,9.0,0.88,Visa 8562,2025-05-01 11:03:00,11,2
91,"5/1/25, 11:05 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Strawberry, Oat Milk",6.75,1,6.75,0.66,Visa 8754,2025-05-01 11:05:00,11,4
93,"5/1/25, 11:06 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Plain CC, Latte, Oat Milk, Honey",9.25,1,9.25,0.9,Visa 9597,2025-05-01 11:06:00,11,2
94,"5/1/25, 11:08 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Almond Milk, Sugar Free Vanilla, Everything Bagel, Garlic Herb CC",9.25,1,9.25,0.9,Visa 0488,2025-05-01 11:08:00,11,2
96,"5/1/25, 11:11 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Extra Shot, Plain Bagel, Maple CC",9.5,1,9.5,0.93,Discover 5167,2025-05-01 11:11:00,11,2
98,"5/1/25, 11:12 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Oat Milk",5.75,1,5.75,0.56,Visa 0327,2025-05-01 11:12:00,11,4
99,"5/1/25, 11:13 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Oat Milk",5.75,1,2.87,0.28,Amex 7678,2025-05-01 11:13:00,11,4
101,"5/1/25, 11:14 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla, Almond Milk, Sufar Free, Cinnamon",6.25,1,3.13,0.31,Mastercard 7763,2025-05-01 11:14:00,11,4
102,"5/1/25, 11:15 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Latte",6.5,1,6.5,0.63,Mastercard 2048,2025-05-01 11:15:00,11,4
104,"5/1/25, 11:17 AM","(5/1/25, 8:36 AM - 8:37 AM)",Snickerdoodle,"Iced, Latte, Extra Shot",7.5,1,7.5,0.73,Visa 2757,2025-05-01 11:17:00,11,4
106,"5/1/25, 11:18 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Blueberry CC, Latte, Oat Milk, Vanilla, Iced",9.25,1,9.25,0.9,Visa 9112,2025-05-01 11:18:00,11,2
107,"5/1/25, 11:19 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Strawberry",6.0,1,6.0,0.58,Amex 6230,2025-05-01 11:19:00,11,4
109,"5/1/25, 11:21 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Asiago, Garlic Herb CC",4.25,1,4.25,0.41,Visa 4208,2025-05-01 11:21:00,11,1
113,"5/1/25, 11:21 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Plain CC, Matcha, Vanilla, Iced",9.0,1,9.0,0.88,Visa 9062,2025-05-01 11:21:00,11,2
116,"5/1/25, 11:22 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Plain CC, Shaken Espresso, Oat Milk, BSC",9.25,1,9.25,0.9,Visa 2524,2025-05-01 11:22:00,11,2
118,"5/1/25, 11:23 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Plain, Plain CC",4.0,1,4.0,0.39,Visa 3866,2025-05-01 11:23:00,11,1
119,"5/1/25, 11:24 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Plain CC, Latte, Snikerdoodle, Light Ice",9.0,1,9.0,0.88,Visa 8773,2025-05-01 11:24:00,11,2
126,"5/1/25, 11:26 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Blueberry CC, Latte, Moccahazelnut, Oat Milk, Ices",8.75,1,8.75,0.85,Visa 3170,2025-05-01 11:26:00,11,2
126,"5/1/25, 11:26 AM","(5/1/25, 8:36 AM - 8:37 AM)",Cold Brew,Iced,5.5,1,5.5,0.54,Visa 3170,2025-05-01 11:26:00,11,4
127,"5/1/25, 11:27 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Oat Milk",5.75,1,5.75,0.56,Mastercard 5856,2025-05-01 11:27:00,11,4
128,"5/1/25, 11:27 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Diablo CC, Shaken Espresso",8.0,1,8.0,0.78,Mastercard 9816,2025-05-01 11:27:00,11,2
129,"5/1/25, 11:28 AM","(5/1/25, 8:36 AM - 8:37 AM)",Snickerdoodle,"Iced, Oat Milk, Latte",7.25,1,7.25,0.71,Visa 4789,2025-05-01 11:28:00,11,4
130,"5/1/25, 11:29 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cin Sug. Bagel, Maple CC, Latte, Vanilla, Cold Foam",9.5,1,9.5,0.93,Visa 6689,2025-05-01 11:29:00,11,2
131,"5/1/25, 11:30 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Matcha, Strawberry",9.0,1,9.0,0.88,Visa 5664,2025-05-01 11:30:00,11,2
132,"5/1/25, 11:30 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Oat Milk, Latte",7.25,1,7.25,0.71,Mastercard 4955,2025-05-01 11:30:00,11,4
138,"5/1/25, 11:37 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cold Brew, Everything Bagel, Garlic Herb CC, Cold Foam",9.0,1,9.0,0.88,Visa 0402,2025-05-01 11:37:00,11,2
138,"5/1/25, 11:37 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Everything Bagel, Garlic Herb CC",8.0,1,8.0,0.78,Visa 0402,2025-05-01 11:37:00,11,2
139,"5/1/25, 11:38 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Everything Bagel, Plain CC, Latte, Oat Milk, Smores",9.75,1,9.75,0.95,Visa 8866,2025-05-01 11:38:00,11,2
141,"5/1/25, 11:39 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Smores, Everything Bagel, Plain CC",9.0,1,9.0,0.88,Mastercard 7845,2025-05-01 11:39:00,11,2
143,"5/1/25, 11:40 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Almond Milk, Vanilla",6.25,1,0.0,0.0,,2025-05-01 11:40:00,11,4
145,"5/1/25, 11:41 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Strawberry, Van Cf, Cold Foam, Everything Bagel, Plain CC",10.0,1,10.0,0.98,Visa 6523,2025-05-01 11:41:00,11,2
147,"5/1/25, 11:43 AM","(5/1/25, 8:36 AM - 8:37 AM)",Iced Shaken Espresso,"Iced, One Shot, Spl Almond, Cold foam, A Little Cf",5.5,1,4.12,0.4,Amex 1212,2025-05-01 11:43:00,11,4
151,"5/1/25, 11:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Vanilla, Cold Foam, Asiago Bagel, Diablo CC",9.5,1,9.5,0.93,Visa 7852,2025-05-01 11:44:00,11,2
155,"5/1/25, 11:46 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Shaken Espresso, Vanilla, Spl Oat, Asiago Bagel, Diablo CC",8.5,1,8.5,0.83,Visa 5605,2025-05-01 11:46:00,11,2
161,"5/1/25, 11:47 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Asiago, Garlic Herb CC",4.25,1,4.25,0.41,Visa 5540,2025-05-01 11:47:00,11,1
163,"5/1/25, 11:48 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla",5.5,1,5.5,0.54,Mastercard 9779,2025-05-01 11:48:00,11,4
164,"5/1/25, 11:51 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla",5.5,2,11.0,1.07,Mastercard 6378,2025-05-01 11:51:00,11,3
166,"5/1/25, 11:53 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Whitemacadamia, 1/2sweet",5.0,1,5.0,0.49,Visa 5291,2025-05-01 11:53:00,11,4
171,"5/1/25, 11:57 AM","(5/1/25, 8:36 AM - 8:37 AM)",Snickerdoodle,"Iced, Latte",6.5,1,6.5,0.63,Visa 0321,2025-05-01 11:57:00,11,4
171,"5/1/25, 11:57 AM","(5/1/25, 8:36 AM - 8:37 AM)",White Macadamia,"Iced, Latte",6.5,1,6.5,0.63,Visa 0321,2025-05-01 11:57:00,11,4
173,"5/1/25, 12:00 PM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Marshmallow",6.0,1,6.0,0.58,Amex 1039,2025-05-01 12:00:00,12,5
173,"5/1/25, 12:00 PM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,Iced,5.5,1,5.5,0.54,Amex 1039,2025-05-01 12:00:00,12,5
173,"5/1/25, 12:00 PM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Cinnamon Sugar, Maple CC",4.25,1,4.25,0.41,Amex 1039,2025-05-01 12:00:00,12,1
176,"5/1/25, 12:01 PM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,Iced,5.0,1,5.0,0.49,Visa 7950,2025-05-01 12:01:00,12,6
183,"5/1/25, 12:04 PM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Strawberry",5.5,1,5.5,0.54,Discover 0987,2025-05-01 12:04:00,12,6
184,"5/1/25, 12:06 PM","(5/1/25, 8:36 AM - 8:37 AM)",$0.00,Mr. Can't Go wrong,10.0,1,10.0,0.98,Visa 7900,2025-05-01 12:06:00,12,0
